Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
DHS-ICE-Homeland Security Investigations,San Diego,,2017-01-03 12:04:00,This child pornography/exploitation investigation was initiated upon receipt of a National Center for Missing and Exploited Children (NCMEC) CyberTipline report regarding a target Google email account referenced in the attached search warrant. ,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-05-27 00:00:00,2016-09-08 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring", ,No, ,eswn2017.xlsx,2017
Rohnert Park DPS,Sonoma,,2017-06-01 17:26:00,Bomb Threat,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01 00:00:00,2017-03-10 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-06-06 12:50:00,Grand Theft of Intellectual Property by use of spoofed emails.,,,,Business,Google Inc. and Namecheap Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Communications (email, text, voice mail, or other communication)
Cookies
",2016-06-25 00:00:00,2017-01-17 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
San Bernardino Police department,Los Angeles,,2017-06-13 10:46:00,Business Email Compromise (BEC).  Business was sent a fraudulent email attempting to defraud the business by giving fraudulent bank information in which money was to be sent.,,,,Business,Verizon.net / Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-05-01 00:00:00,2017-03-16 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2017.xlsx,2017
Clovis Police Department,Fresno,,2017-06-14 15:49:00,An image of child pornography was uploaded to email address [redacted].,,,,Business,"Comcast, Google, Facebook, & Twitter","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-26 00:00:00,2017-06-05 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
California Highway Patrol,Santa Clara,,2017-06-15 13:20:00,"Records or information concerning your electronic communication named in the search warrant was sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 06/15/2017 in Santa Clara County._x000D_
 These records were requested for a criminal investigation pertaining to identity theft in conjunction with computer based fraud that occurred within Santa Clara County during late 2016 and early 2017. These records sought involve subscriber information, financial/billing records, electronic communication, stored data,  connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned_x000D_
 investigation.",,,,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-01 00:00:00,2017-06-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
San Diego County District Attorney's Office,San Diego,,2017-06-15 16:40:00,Stalking.,,,,Business,Google,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2015-03-01 00:00:00,2016-07-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to intimidation of potential witnesses,No, ,eswn2017.xlsx,2017
Oxnard Police Department,Ventura,,2017-07-06 11:12:00,Child Pornography,,,,Business,Google and Dropbox,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-24 00:00:00,2016-12-31 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Arcadia Police Department ,Los Angeles,,2017-07-11 07:35:00,A hotel room was booked and paid for by fraudulent means. The email address the search warrant was for was used during the crime. ,,,,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-12 00:00:00,2016-10-31 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Huntington Beach Police Department,Orange,,2017-07-26 10:01:00,Robbery investigation,,,,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-01 00:00:00,2016-10-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
