Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Seaside Police Department,Monterey,18-318,2019-01-22 8:56:00,Burglary to a gunsmithing shop where 11 firearms were stolen along with other property.,Theft/Fraud,,,Business,Google LLC,Device ID in a particular location from Google,2017-08-26 0:00:00,2017-08-28 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,eswn2019.xlsx,2019
Orange County Sheriff's Department,Orange,19-9999,2019-03-19 6:38:00,Google search warrant to obtain devices in the area of the robbery to gain possible suspects.,Crime of Violence,Robbery,,Business,Google LLC.,"Location information
Device information in the area
",2019-03-11 0:00:00,2019-03-11 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,eswn2019.xlsx,2019
San Mateo Police Department,San Mateo,,2020-06-02 11:51:00,criminal investigation,Burglary,,,Business,Google,reverse google,2019-06-26 0:00:00,2019-06-26 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2020
Orang Police Department,Orange,12502,2020-02-25 12:52:00,Susps stole victim's property as knife point.,Crime of Violence,Robbery,,Device Only,,"Location information
Geo Fence
",2019-12-03 0:00:00,2019-12-13 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No,,electronic-search-warrant-notifications.csv,2020
Tustin Police Dept.,Orange,,2020-10-09 13:08:00,Multiple auto thefts which occurred during nighttime hours at an auto mall.,Theft/Fraud,,,Business,Google LLC,Anonymous device ID location data.,2020-08-02 0:00:00,2020-08-03 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,electronic-search-warrant-notifications.csv,2020
Fresno Police Department,Fresno,,2020-08-06 8:20:00,The search warrant was related to two homicides that occurred in the same area within a few weeks of each other. The search warrant was addressed to Google to identify the suspect(s) in the area at the time of both homicides.,Homicide,,,Business,Google,Google ID's in a certain area.,2020-04-03 0:00:00,2020-04-29 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2020
Orang Police Department,Orange,12785,2020-02-25 12:56:00,Susps struck the victim several times and stole his property.,Crime of Violence,Robbery,,Device Only,,"Location information
Geo Fence
",2020-02-19 0:00:00,2020-02-29 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No,,electronic-search-warrant-notifications.csv,2020
Newark Police Department,Alameda,WAR681012,2021-06-25 13:41:00,Home invasion robbery investigation.,Crime of Violence,Robbery,Gang Related,Business,Google LLC,Google Reverse Location Obfuscated IDs/Device IDs,2021-03-19 0:00:00,2021-03-19 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,,No,,electronic-search-warrant-notifications.csv,2021
Tustin PD,Orange,,2021-06-21 14:09:00,Vehicle Burglary,Theft/Fraud,,,Business,Google LLC,Anonymous device ID location data.,2021-04-08 0:00:00,2021-04-08 0:00:00,was used as the means of committing a felony,,No,,electronic-search-warrant-notifications.csv,2021
Tustin Police Dept.,Orange,,2021-03-17 13:16:00,Commercial Burglary,Theft/Fraud,,,Business,Google LLC,Anonymous device ID location data.,2021-03-09 0:00:00,2021-03-09 0:00:00,"tends to show that a felony has been committed or that a particular person has committed a felony
CPC 1524.3
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No,,electronic-search-warrant-notifications.csv,2021
Visalia Police Department,Tulare,21-014539,2021-03-25 16:13:00,"Burglary at the Mart N' Bottle in Visalia, CA on 02/19/2021",Theft/Fraud,,,Device Only,,geofence,2021-02-19 0:00:00,2021-02-19 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2021
Marina Police Department,Monterey,21SW000247,2021-03-10 12:36:00,"On 02/03/2021, an attempted murder occurred at Del Monte Blvd. / Reservation Rd. Marina CA. A male is suspected of shooting the victim in the arm and fleeing the scene. ",Attempted murder,,Gang Related,Device Only,,Google Geofence - Device ID,2021-02-03 0:00:00,2021-02-24 0:00:00,All devices present within the map coordinates incorporated within this Affidavit between:   •	02/03/2021 from 5:10PM PST to 5:2,lead to destruction of or tampering with evidence,No,,electronic-search-warrant-notifications.csv,2021
Sacramento PD,Sacramento,21SW01800,2021-07-14 10:47:00,Investigation of what was believed to be a burglary series.,Theft/Fraud,,,Business,"Google, LLC",Anonymized account location data (Geo Fence),2021-03-11 0:00:00,2021-04-12 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,electronic-search-warrant-notifications.csv,2021
